MinimumInstallerVersion;InstallerVersionLessThan;Sequence;WorkbenchVersion;TypeofCheck;FilesChecked;FileCheckDetails;Hash;InstallMedia;ADF_Name;FriendlyName;ADFSource;ADFDescription
1.0;9.9;2;3.2.2;Hash;;;7091e70daa56329d68850ec9f1f3e851;Disk;LocaleFR3_2_2;LocaleFR 3.2.2;Hyperion (3.2.2 Update);LocaleFR 3.2.2
1.0;9.9;1;3.2.2;Hash;;;C832567C3AFB3F77394672FB73FED605;Disk;LocaleFR3_2_2;LocaleFR 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleFR 3.2.2
1.0;9.9;2;3.2.2;Hash;;;f277608a1fdf558be104a2950c737dee;Disk;LocaleGR3_2_2;LocaleGR 3.2.2;Hyperion (3.2.2 Update);LocaleGR 3.2.2
1.0;9.9;1;3.2.2;Hash;;;4D4436A7A8F7E877493ACA8C0CAB4157;Disk;LocaleGR3_2_2;LocaleGR 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleGR 3.2.2
1.0;9.9;2;3.2.2;Hash;;;2c68842d036c54eafa98a335e19ec1fe;Disk;LocaleIT3_2_2;LocaleIT 3.2.2;Hyperion (3.2.2 Update);LocaleIT 3.2.2
1.0;9.9;1;3.2.2;Hash;;;2CC003E0FD14635FCE4C131DF636EB60;Disk;LocaleIT3_2_2;LocaleIT 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleIT 3.2.2
1.0;9.9;2;3.2.2;Hash;;;524b92f4ded39d6e16f04d5fb0b2f435;Disk;LocaleNL3_2_2;LocaleNL 3.2.2;Hyperion (3.2.2 Update);LocaleNL 3.2.2
1.0;9.9;1;3.2.2;Hash;;;D4AB095C78242711234FF809258D4755;Disk;LocaleNL3_2_2;LocaleNL 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleNL 3.2.2
1.0;9.9;2;3.2.2;Hash;;;c94355c792bada78e18dc841a5b4eb50;Disk;LocaleNO3_2_2;LocaleNO 3.2.2;Hyperion (3.2.2 Update);LocaleNO 3.2.2
1.0;9.9;1;3.2.2;Hash;;;47877472B06C94BD604C7520F53E84E2;Disk;LocaleNO3_2_2;LocaleNO 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleNO 3.2.2
1.0;9.9;2;3.2.2;Hash;;;306c3cb0519abe6707c4c209cdd35189;Disk;LocalePL3_2_2;LocalePL 3.2.2;Hyperion (3.2.2 Update);LocalePL 3.2.2
1.0;9.9;1;3.2.2;Hash;;;34517E9C943758294CE6F1BA69D5C187;Disk;LocalePL3_2_2;LocalePL 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocalePL 3.2.2
1.0;9.9;2;3.2.2;Hash;;;3a9f89d6538f070170749d33ec001ae2;Disk;LocalePT3_2_2;LocalePT 3.2.2;Hyperion (3.2.2 Update);LocalePT 3.2.2
1.0;9.9;1;3.2.2;Hash;;;486191F2D8AB0DA97FE9F04FBE4640BD;Disk;LocalePT3_2_2;LocalePT 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocalePT 3.2.2
1.0;9.9;2;3.2.2;Hash;;;feef154ac89e967b2f9f2fc9f83482c3;Disk;LocaleRS3_2_2;LocaleRS 3.2.2;Hyperion (3.2.2 Update);LocaleRS 3.2.2
1.0;9.9;1;3.2.2;Hash;;;E015012A08A84C7C915322D7E3452CB3;Disk;LocaleRS3_2_2;LocaleRS 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleRS 3.2.2
1.0;9.9;2;3.2.2;Hash;;;2f05bd84ca7141196d0976ce83e51178;Disk;LocaleRU3_2_2;LocaleRU 3.2.2;Hyperion (3.2.2 Update);LocaleRU 3.2.2
1.0;9.9;1;3.2.2;Hash;;;E70C377D579A5171BFEF7B3BC937038C;Disk;LocaleRU3_2_2;LocaleRU 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleRU 3.2.2
1.0;9.9;2;3.2.2;Hash;;;a0c1d3c398e853e4a47afa74524fc3d2;Disk;LocaleSE3_2_2;LocaleSE 3.2.2;Hyperion (3.2.2 Update);LocaleSE 3.2.2
1.0;9.9;1;3.2.2;Hash;;;DF2D452056D9BA0706839CC7FD94190B;Disk;LocaleSE3_2_2;LocaleSE 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleSE 3.2.2
1.0;9.9;2;3.2.2;Hash;;;10490f2d49a4e6eba3ede9ca77928029;Disk;LocaleTR3_2_2;LocaleTR 3.2.2;Hyperion (3.2.2 Update);LocaleTR 3.2.2
1.0;9.9;1;3.2.2;Hash;;;CA19A6C8C1B268FBDCE7DF1653257EC5;Disk;LocaleTR3_2_2;LocaleTR 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleTR 3.2.2
1.0;9.9;2;3.2.2;Hash;;;df95cdaefbdf7db9302289bcc20b5865;Disk;LocaleUK3_2_2;LocaleUK 3.2.2;Hyperion (3.2.2 Update);LocaleUK 3.2.2
1.0;9.9;1;3.2.2;Hash;;;8709488AD6BE922B3C746904D71B7A3F;Disk;LocaleUK3_2_2;LocaleUK 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);LocaleUK 3.2.2
1.0;9.9;2;3.2.2;Hash;;;ee388739de555821012f8ca75e3e8e6e;Disk;ModulesA12003_2_2;ModulesA1200 3.2.2;Hyperion (3.2.2 Update);ModulesA1200 3.2.2
1.0;9.9;1;3.2.2;Hash;;;EA8CA10DD6EE55CD123D8E9EB2A034CA;Disk;ModulesA12003_2_2;ModulesA1200 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);ModulesA1200 3.2.2
1.0;9.9;2;3.2.2;Hash;;;df84fcbae4d1c5466d5b5445e82f0019;Disk;ModulesA20003_2_2;ModulesA2000 3.2.2;Hyperion (3.2.2 Update);ModulesA2000 3.2.2
1.0;9.9;1;3.2.2;Hash;;;9C5AFD6BF49A7886A09F7494E93921F5;Disk;ModulesA20003_2_2;ModulesA2000 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);ModulesA2000 3.2.2
1.0;9.9;2;3.2.2;Hash;;;74bec54cf0c6c49f6910dce6c8846e02;Disk;ModulesA30003_2_2;ModulesA3000 3.2.2;Hyperion (3.2.2 Update);ModulesA3000 3.2.2
1.0;9.9;1;3.2.2;Hash;;;7D0EE5C4D9187074BA98F209BC7411CC;Disk;ModulesA30003_2_2;ModulesA3000 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);ModulesA3000 3.2.2
1.0;9.9;2;3.2.2;Hash;;;504f9b3166948e7a3537f5e81efa30e7;Disk;ModulesA4000D3_2_2;ModulesA4000D 3.2.2;Hyperion (3.2.2 Update);ModulesA4000D 3.2.2
1.0;9.9;1;3.2.2;Hash;;;9C307FDE4BF80C92D2CE010E5783F1D1;Disk;ModulesA4000D3_2_2;ModulesA4000D 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);ModulesA4000D 3.2.2
1.0;9.9;2;3.2.2;Hash;;;b430b4ddb9d30c57cc82374dd2ddd889;Disk;ModulesA4000T3_2_2;ModulesA4000T 3.2.2;Hyperion (3.2.2 Update);ModulesA4000T 3.2.2
1.0;9.9;1;3.2.2;Hash;;;C7E6EC3220109185D3019FBA30BEDEF9;Disk;ModulesA4000T3_2_2;ModulesA4000T 3.2.2;Hyperion (3.2.2.1 Hotfix Pack);ModulesA4000T 3.2.2
